Data Sample,Implicit Meaning,Explicit Meaning,Category,Hallucination Types,Idiom Phrases,Meaning of Idiom Phrases
"তারা অন্ধিসন্ধির মধ্যে ছিল, গোপন তথ্য নিয়ে একে অপরের সঙ্গে চক্রান্ত করছিল।",,,বাগধারা,,অতি লোভে তাঁতি নষ্ট ,লোভে ক্ষতি
" অষ্টমঙ্গলার মতো হাসি তার মুখে ছিল, যেন সে আনন্দে ভাসছিল।",,,বাগধারা,,অতি চালাকের গলায় দড়ি ,বেশি চাতুর্যের পরিণাম 
"সে তার কাজগুলো অবরে-সবরে করছিল, কখনও সময়মতো, কখনও বা কেবল শেষ মুহূর্তে।",,,বাগধারা,,অমাবস্যার চাঁদ,দুর্লভ বস্তু
" সে একজন অপোগণ্ড, যাকে কোনো কাজের জন্য প্রস্তুত করা হয়নি এবং যার কোন বাস্তব অভিজ্ঞতা ছিল না।",,,বাগধারা,,অরণ্যে রোদন,নিষ্ফল অনুনয়
"সে ছিল আসলেই অসূর্যম্পশ্যা, ঘরের ভিতর নিজেকে সম্পূর্ণভাবে সীমাবদ্ধ করে রেখেছিল।",,,বাগধারা,,অনুরোধে ঢেঁকি গেলা  ,অনুরোধে অসম্ভব কাজ করা
" শীতে তাকে দেখে মনে হচ্ছিল তার অঙ্গ জল হয়ে গিয়েছে, ঠাণ্ডায় সে কাঁপছিল।",,,বাগধারা,,অথৈ জলে পড়া, ভীষণ বিপদে পড়া
"তার মৃত্যু হয়েছিল অনন্তশয্যায়, যে শয্যা ছিল তার চিরস্থায়ী শয্যা।",,,বাগধারা,,অহি নকুল বা সাপে-নেউলে বা দা-কুমড়া সম্পর্ক, শত্রু সম্পর্ক
"সে কেবল অক্ষর পরিচয় জানে, কিন্তু তার অধিক বিদ্যা নেই।",,,বাগধারা,,অগ্যস্ত যাত্রা , চিরতরের যাত্রা
"সোহেল একদম অকর্মার ধাড়ি হয়ে গিয়েছিল, সারাদিন বিছানায় শুয়ে থাকত এবং কোনো কাজ করত না।",,,বাগধারা,,অগ্নি শর্মা ,অতিশয় ক্রুদ্ধ
" তার তীক্ষ্ম মন্তব্য ছিল অগ্নিবান, যা অনেকের মনকে আহত করেছিল।",,,বাগধারা,,অগ্নি পরীক্ষা ,কঠোর পরীক্ষা
"তার অঙ্গের ভূষণ তার সদয় মনোভাব, যা সবাইকে আকর্ষণ করত।",,,বাগধারা,,অন্ধকারে ঢিল মারা ,আন্দাজে কোন কাজ করা
" সে পুরো ঘরটি অপাট করে ফেলেছিল, বিশৃঙ্খলা সৃষ্টি করেছিল।",,,বাগধারা,,অকালবোধন ,অসময়ে আবির্ভাব
"আজ সাইমা তার অন্নপ্রাশনের ভাত খেয়ে নতুন জীবন শুরু করেছে, এই বিশেষ মুহূর্ত তার জন্য স্মরণীয় হয়ে থাকবে।",,,বাগধারা,,অর্ধচন্দ্র!,ঘাড় ধাক্কা দেয়া
"তার চরিত্র ছিল অগ্নিগর্ভ, সবকিছুতে তেজ এবং শক্তি ছিল।",,,বাগধারা,,আক্কেল সেলামি, বোকামির দন্ড 
"তার আচরণে অভদ্রা লাগছিল, কারণ সে অন্যদের প্রতি কখনোই সম্মান দেখাত না।",,,বাগধারা,,আগুন লাগা সংসার ,ক্ষয়িষ্ণু সংসার 
" সে এখন খুবই অন্তব্যস্ত, সব কাজের চাপ তাকে পর্যাপ্ত সময় দিতে পারছে না।",,,বাগধারা,,আলালের ঘরের দুলাল, আদুরে 
"সেলিনা একদম অমৃতে অরুচি অনুভব করছিল, পছন্দসই খাবারের প্রতি তার আগ্রহ হারিয়ে গিয়েছিল।",,,বাগধারা,,আক্কেল গুডুম ,হতবুদ্ধি হওয়া 
"জীবনে অকালের বাদলা পড়েছিল, অপ্রত্যাশিত বাধা তাকে পরাজিত করেছিল।",,,বাগধারা,,আকাশ ভাঙ্গিয়া পড়া, মহা বিপদ উপস্থিত হওয়া
তোমার প্রতিবেদনে ওইসব লোকের আঁতে ঘা লেগেছে।,,,বাগধারা,,আঁতে ঘা ,খুব কষ্ট
অল্প বিনিয়োগে বেশি লাভের আশা! আকাশ কুসুম চিন্তা ছাড়া কিছু নয়।,,,বাগধারা,, আকাশ কুসুম ,অসম্ভব কল্পনা
"তার চেহারায় অষ্টাবক্র হাসি ছিল, যা দেখে সবাই বুঝতে পারছিল সে কেমন মানুষ।",,,,,,
"মিটিংয়ে তার অস্বাভাবিক পোশাক ছিল অসাজন্ত, যা অন্যদের কাছে অস্বস্তি সৃষ্টি করেছিল।",,,,,,
"তার মধ্যে অস্থির পাজক দেখা যাচ্ছিল, কারণ সে সিদ্ধান্ত নিতে পারছিল না কিভাবে তার প্রোজেক্টটি এগিয়ে নেবে।",,,,,,
সে এতদিনে অবশেষে নিজের জীবনের অগতির গতি অতিক্রম করতে পেরেছে এবং স্বস্তিতে জীবনযাপন করছে।,,,,,,
রিতা তার মা-বাবার কাছে অনুনয়-বিনয় করছিল যাতে তারা তার জন্য নতুন বই কিনে দেন।,,,,,,
"অনুর্ভঙ্গ পণ নিয়ে রাজু তার পরিশ্রম চালিয়ে যাচ্ছিল, একদিন সে তার স্বপ্ন পূর্ণ করতে সক্ষম হবে।",,,,,,
"তার জীবনে সব সময় অম্বল চাখা ছিল, এক স্থান থেকে অন্য স্থানে চলে যেত এবং নতুন কিছু খুঁজত।",,,,,,
"সে সব সময় অগড়-বগড় কথা বলত, কোনো স্পষ্টতা ছিল না তার বক্তব্যে।",,,,,,
"তার মৃত্যু ছিল অগস্ত্য যাত্রা, সে পৃথিবী থেকে চিরদিনের জন্য চলে গেছে।",,,,,,
তুমি আমার সাথে আগুন নিয়ে খেলতে এসো না।,,,বাগধারা,,আগুন নিয়ে খেলা,বিপজ্জনক ঘটনার আশঙ্কা তৈরি করা
"অনেক দুশ্চিন্তার পর, অবশেষে সে অকূলে কূল পেয়েছে এবং নিজের পরিস্থিতি নিয়ন্ত্রণে এনেছে।",,,,,,
"তার আচরণ ছিল অগা মেরে যাওয়া, সবকিছুতে হালকা মনোভাব নিয়ে চলত, তবে কিছুই সঠিকভাবে করত না।",,,,,,
"এটি একটি অষ্টবজ্র সম্মিলন ছিল, যেখানে বিজ্ঞানী, শিল্পী এবং উদ্যোক্তারা একত্র হয়ে নতুন প্রযুক্তি নিয়ে আলোচনা করছিলেন।",,,,,,
"তার ব্যবসা একটি অক্ষয়ভাণ্ডারের মতো, যেখানে কোনো সমস্যার সম্মুখীন না হয়েও মুনাফা বাড়ছে।",,,,,,
"তার মেধা ছিল অক্ষয় অব্যয়, যা কোনো পরিস্থিতিতেই কমে যায়নি বা ক্ষয়প্রাপ্ত হয়নি।",,,,,,
"তাদের আলোচনা ছিল অসার-সুসার, কিছুটা সুবিধা পাওয়া গেলেও বেশিরভাগই অপ্রয়োজনীয় ছিল।",,,,,,
সাত দিনের মধ্যে ও করবে এই কাজ। ওর তো আঠারো মাসে বছর।,,,বাগধারা,,আঠারো মাসে বছর, দীর্ঘসূত্রিতা
"এতদিন কাজটা ফেলে রেখেছিলে, এবার আদা-জল খেয়ে লেগে দেখো শেষ করতে পারো কিনা।",,,বাগধারা,,আদা-জল খেয়ে লাগা ,প্রাণপণ চেষ্টা করা
তার মতো আমড়া কাঠের ঢেঁকি লাখে একটা মেলে।,,,বাগধারা,,আমড়া কাঠের ঢেঁকি ,অপদার্থ 
বর্ষাকালে আষাঢ়ে গল্প না হলে কি আসর জমে?,,,বাগধারা,,আষাঢ়ে গল্প , আজগুবি গল্প
" সে ছিল আউলিয়া চাঁদ, কোনো ছোটো ঘটনা বা কথা তাকে খুব তাড়াতাড়ি কাঁদিয়ে ফেলত।",,,,,,
" এখন তার আক্কেল দাঁত ওঠা, তার বুদ্ধি এবং বিচক্ষণতা বেড়েছে।",,,বাগধারা,,ইঁচড়ে পাকা ,অকালপক্ব
"তার মাঝে অনেক আদিখ্যেতা ছিল, কাজের প্রতি একদম উদাসীন ছিল।",,,বাগধারা,,ইতর বিশেষ ,পার্থক্য 
"তার কল্পনায় সবকিছুই ছিল আচাভুয়ার বোম্বাচাক, কোনো কিছুই বাস্তবে সম্ভব নয়।",,,বাগধারা,,উড়নচণ্ডী  ,বেহিসেবি
"সে ছিল আটাশে ছেলে, কিছুই করতে পারত না এবং দুর্বল ছিল।",,,,,,
"বাজারে তার অস্থির আচরণ ছিল আড়ং ঘাটা, সবাই তাকে এড়িয়ে চলত।",,,,,,
" শহরের এই রাস্তা আদমের কাল থেকেই রয়েছে, এর ইতিহাস অনেক পুরনো।",,,,,,
"সে সব সময় নিজেকে নিয়ে আমি আমি করত, অন্যদের কাজের গুরুত্ব কখনো বুঝত না।",,,,,,
"তার সংগ্রহে ছিল আলেয়ার আলো, দুর্লভ এবং অমূল্য বস্তু যা সকলের কাছে আকর্ষণীয়।",,,বাগধারা,,উড়োচিঠি, বেনামি চিঠি
"সে ছিল আঁচল ধরে বেড়ানো, সব সময় অন্যের উপর নির্ভরশীল ছিল।",,,বাগধারা,,উনিশ-বিশ ,সামান্য পার্থক্য
"সে ছিল একেবারে আনাড়ি, নতুন কাজ শিখতে তাকে অনেক সময় দিতে হত।",,,বাগধারা,,এক হাত লওয়া ,জব্দ করা 
" তার পা মচকানো পর সে আওরানো অনুভব করেছিল, ব্যথা একেবারে সহ্য করা যাচ্ছিল না।",,,বাগধারা,,একাদশে বৃহস্পতি , সুসময়
" তার কাজের ধরণ ছিল আজল-পাঁজল, সবকিছু এলোমেলো হয়ে গিয়েছিল।",,,বাগধারা,,একচোখা ,পক্ষপাতিত্ব 
"সে ছিল একদম আকালকেঁড়ে, সব সময় দরিদ্র ও অভাবী ছিল।",,,বাগধারা,,এলাহি কাণ্ড, বিরাট আয়োজন
"তার ঘোমটা ছিল আদুড়চুলি, পুরোপুরি সঠিকভাবে পরিধান করা হয়নি।",,,বাগধারা,,ওষুধে ধরা  ,প্রতিক্রিয়া সৃষ্টি হওয়া
" সে ছিল এক আপকেওয়াস্তে, সর্বদা অন্যদের প্রশংসা করত যাতে তার কাজ সহজ হয়।",,,বাগধারা,,কচুকাটা করা , ধ্বংস করা
" তার চুল ছিল আলুথালু, কোনো দিন ঠিকভাবে ঠিক করা হত না।",,,বাগধারা,,কাষ্ঠ হাসি, কপট হাসি 
"তাদের সম্পর্ক ছিল আগাগাছতলা, একে অপরকে ভালোভাবে জানত এবং বোঝত।",,,বাগধারা,,কপাল ফেরা ,সৌভাগ্য লাভ
" সে সব সময় অন্যদের সম্পর্কে আউছিয়া করত, তাদের নিন্দা করত।",,,বাগধারা,,কলুর বলদ ,একটানা খাটুনি
"সে ছিল আড়ং ঘাটা, সব সময় অন্যদের ভুল খুঁজত।",,,বাগধারা,,কাগজে কলমে ,লিখিতভাবে
"সে সব সময় আড়ি পাতা শুনত, লুকিয়ে অন্যদের কথা শুনত।",,,বাগধারা,,কাঠখোট্টা ,নীরস ও অনমনীয়
"সে এক কঠিন অবস্থায় আতান্তরে পড়ে গিয়েছিল, কোনো সমাধান খুঁজে পাচ্ছিল না।",,,বাগধারা,,কানভারি করা, কুপরামর্শ দেওয়া 
" সে ছিল আদাড়ের হাঁড়ি, অনেক তুচ্ছ ছিল, কোনো গুরুত্ব ছিল না।",,,বাগধারা,,কান ভাঙানো ,কুপরামর্শ
"সে ছিল আধহারা, অবস্থা খুব খারাপ ছিল, কিছুতেই সুস্থ হতে পারছিল না।",,,বাগধারা,,কলুর বলদ ,পরাধীন 
"সে ছিল একদম আপনহারা, জীবনের দুঃখে বিভোর ছিল।",,,বাগধারা,,কাক-ভূষণ্ডি,দীর্ঘায়ু ব্যক্তি
"সেই সময় ছিল আষাঢ়ান্ত বেলা, যখন দিন শেষ হতে চলেছিল এবং তার চিন্তা বাড়ছিল।",,,বাগধারা,,কাঁটা দিয়ে কাঁটা তোলা ,শত্রু দিয়ে শত্রু নাশ
" মিউজিয়ামে গেলাম, সেখানে অনেক আজবখানা ছিল, যেখানে পুরনো এবং অদ্ভুত জিনিস রাখা ছিল।",,,বাগধারা,,কংস মামা,নির্মম আত্মীয় 
"তার কথাগুলি ছিল আঁদরু পেঁদরু, কিছুই পরিষ্কার ছিল না, শুধু হাস্যকর ছিল।",,,বাগধারা,,কুয়োর ব্যাঙ, সংকীর্ণমনা লোক
"সে ছিল আদাড়ের হাঁড়ি, কোনো গুরুত্ব ছিল না এবং সমাজে অস্বীকৃত ছিল।",,,বাগধারা,,কত ধানে কত চাল, ঠিকঠাক হিসাব 
"তাদের সমাজে আয়োসুয়ো ছিল, সধবা স্ত্রীলোকদের সম্মানপূর্ণ দল যারা পরিবারে গুরুত্বপূর্ণ ভূমিকা পালন করতেন।",,,বাগধারা,,কচুবনের কালাচাঁদ ,অপদার্থ 
" তার মুখে আহ্লাদে ফুটকড়াই ছিল, খুব আনন্দিত ছিল এবং হেসে কুটিকুটি হচ্ছিল।",,,বাগধারা,,খাল কেটে কুমির আনা, বিপদ ডেকে  আনা 
" সে ছিল এক আকাট মূর্খ, কোন পরিস্থিতিতে সঠিক সিদ্ধান্ত নিতে পারত না।",,,বাগধারা,,খেজুরে আলাপ ,অকাজের কথা
" তার পরিবার ছিল আঁটকুড়ো, কোনো সন্তান ছিল না এবং তারা সবাই একসঙ্গে থাকত।",,,বাগধারা,,গোকুলের ষাঁড় ,স্বেচ্ছাচারী
"তার মা ছিল একদম আঁওল, স্বাভাবিকভাবে সন্তান জন্ম দিয়েছিল।",,,বাগধারা,,গৌরচন্দ্রিকা ,ভণিতা 
" তার ঘর ছিল আঁটুবাটু, সবকিছুই এলোমেলো ছিল, কিছুই সঠিকভাবে সাজানো ছিল না।",,,বাগধারা,,গঙ্গাজলে গঙ্গাপূজা ,যার ধনে তার তুষ্টি সাধন
" তারা একে অপরকে আঞ্জাআঞ্জি করছিল, কোলাকুলি করে খুশি হচ্ছিল।",,,বাগধারা,,গভীর জলের মাছ, খুব চালাক
"সভার মাঝে সবাই আধা খেঁচড়া হয়ে গিয়েছিল, কোনো কাজ ঠিকভাবে হচ্ছিল না।",,,বাগধারা,,গা ঢাকা দেওয়া  ,পলায়ন করা
"তার আচরণ ছিল একদম আখাম্বা, কিছুই সঠিকভাবে করছিল না।",,,,,,
"তোমার কথায় আঠারো আনা বাড়াবাড়ি ছিল, কিছুই বাস্তব মনে হচ্ছিল না।",,,,,,
"সে সব সময় আতারি কাতারি করছিল, একটুও স্থির হতে পারছিল না।",,,,,,
"বাজারে আনা আমের মধ্যে আমগন্ধি ছিল, ফলে কেউ কিনতে আগ্রহী হচ্ছিল না।",,,,,,
"মিটিংয়ে সব কিছু সুষ্ঠু ভাবে চলছিল, কিন্তু কিছু সময় পর আর আর আলোচনা শুরু হলো।",,,,,,
"সে এই মুহূর্তে আঁকুপাঁকু করছিল, কি করবে বুঝতে পারছিল না।",,,,,,
"ছোটবেলায় তার মতো আহ্লাদি পুতুল ছিল, যা কখনোই শান্ত হতো না।",,,,,,
"সে আউপাতালি শুরু করে দিল, কাঁদতে কাঁদতে বলছিল যে কেউ তার কথা শোনে না।",,,,,,
"তার সাথে আঁকড়া-আঁকড়ি ছিল, কখনোই একে অপরকে ছেড়ে চলতে পারত না।",,,,,,
"সে পুরোপুরি আককুটে, সব সময় অবহেলায় টাকা খরচ করত।",,,,,,
"সে সব সময় আটুপাটু কাজে ব্যস্ত থাকত, কিন্তু ফলপ্রসূ কিছুই পেত না।",,,,,,
"তার কথা ছিল আনাই-ধানাই, কিছুই পরিষ্কার ছিল না, শুধু ভুল বকছিল।",,,,,,
"সমাজের মধ্যে আয়োমুয়ো ছিল, সধবা মহিলাদের একটি দল যারা সব সময় পরস্পরের পাশে দাঁড়াত।",,,,,,
"সে যখন আসরে নামল, তার উপস্থিতি সবার নজর কেড়ে নিল।",,,,,,
"তার শরীর আষ্টেপৃষ্ঠে ব্যথায় ভুগছিল, একেক সময় মনে হচ্ছিল আর চলা সম্ভব নয়।",,,,,,
"সে ছিল আগন্যাংলা, সব সময় অগ্রগতিতে প্রথম থাকত।",,,,,,
সে নিজের সিদ্ধান্তে ভুল করল এবং শেষমেষ আপন পায়ে কুড়াল মারল।,,,,,,
"তার কথাগুলো ছিল আগড়ম বাগড়ম, কিছুই শোনা যাচ্ছিল না, শুধু উল্টোপাল্টা কথা বলছিল।",,,,,,
"সে ছিল আস্তাকুঁড়ের পাতা, কোনো কাজেই তাকে গুরুত্ব দেয়া হতো না।",,,,,,
কোম্পানির টাকা আত্মসাৎ করে এখন সে গা ঢাকা দিয়েছে। ,,,,,,
"সে তার বইটি আটখান করে ফেলেছিল, সব পাতা আলাদা আলাদা হয়ে গিয়েছিল।",,,,,,
"সে খুব আকেলমন্ত ছেলে, সবকিছুই বুঝে এবং বিবেচনা করে কাজ করে।",,,,,,
"অফিসে ঠিকভাবে কাজের ব্যবস্থা নেই, সবাই মনে করছে আসলে মুষল নেই, ঢেঁকিঘরে চাঁদোয়া চলছে।",,,,,,
গায়ে পড়ে কোনো কাজ করতে যেও না বাপু।,,,বাগধারা,,গায়ে পড়া, অযাচিত
"গায়ে ফুঁ দিয়ে বেড়ানো যার স্বভাব, তাকেও দলে রাখতে হলো।",,,বাগধারা,,গায়ে ফুঁ দিয়ে বেড়ানো, ফাঁকির মনোভাব
 ঝড়ের কারণে আম ব্যবসায়ীদের লাভের আশা এবার গুড়ে বালি।,,,বাগধারা,,গুড়ে বালি ,আশায় নৈরাশ্য
গোঁফ খেজুরে লোককে দিয়ে এসব কাজ হবে না।,,,বাগধারা,,গোঁফ খেজুরে,খুব অলস
 গোড়ায় গলদ করলে হিসাব মিলবে কী করে?,,,বাগধারা,,গোড়ায় গলদ ,শুরুতেই ভুল
সৎ সঙ্গে মিশলে গোল্লায় যাওয়া থেকে রক্ষা পাবে।,,,বাগধারা,,গোল্লায় যাওয়া  ,নষ্ট হওয়া
"চাল নেই, চুলো নেই, দুপয়সার সঞ্চয় নেই; সারা জীবন ঘোড়ার ঘাস কেটেছে।",,,বাগধারা,, ঘোড়ার ঘাস কাটা ,বাজে কাজ করা
" দাপ্তরিক কাজে ঘোড়া ডিঙিয়ে ঘাস খেতে যেয়ো না, বিপদে পড়বে।",,,বাগধারা,,ঘোড়া ডিঙিয়ে ঘাস খাওয়া ,মধ্যবর্তীকে অতিক্রম করে কাজ করা
"ভাত নেই, কাপড় নেই,তার আবার সিনেমা দেখার শখ; গরিবের এ ঘোড়া রোগ কেন?",,,বাগধারা,,ঘোড়া রোগ ,বাতিক
কপাল ভাল থাকলে ঘটিরামদেরও ভাল চাকরির অভাব হয় না।,,,বাগধারা,,ঘটিরাম ,অপদার্থ
" আস্ফালন কোরো না, তুমি আমার ঘোড়ার ডিম করতে পারবে।",,,বাগধারা,,ঘোড়ার ডিম, কিছুই না
কুলাঙ্গার ছেলেটি বংশের মুখে চুনকালি দিয়েছে।,,,বাগধারা,, চুনকালি দেওয়া ,কলঙ্ক দেওয়া
চোখের চামড়া থাকলে যার তার কাছে টাকা ধার চাইতে পারতে না।,,,বাগধারা,,চোখের চামড়া ,লজ্জা
এমন চশমখোর লোকের সাথে আমি মিশি না।,,,বাগধারা,,চশমখোর ,বেহায়া
"সারাজীবন চিনির বলদের মতো ঘানি টানলে, বিনিময়ে কিছুই পেলে না।",,,বাগধারা,,চিনির বলদের মতো ঘানি টানা ,ফল লাভে অংশীদার না হওয়া
 লোকটি এ কাজ পাওয়ার জন্য একেবারে চিনে জোঁকের মতো লেগে আছে।,,,বাগধারা,,চিনে জোঁক ,নাছোড়বান্দা
"সকলকে চুনোপুঁটি ভেবে অবজ্ঞা করা উচিত নয়। 

",,,বাগধারা,,চুনোপুঁটি, সামান্য ব্যক্তি
"সাধারণের কল্যাণ চাই বলে সমাজে আমরা চোখের বালি।
",,,বাগধারা,,চোখের বালি , অপ্রিয়
লোভের চোরাবালিতে পড়ে জীবটনা মাটি করো না।,,,বাগধারা,,চোরাবালি ,প্রচ্ছন্ন আকর্ষণ 
ছোট্ট একটা ভুলের জন্য এমন পরিশ্রমের কাজটা শেষ পর্যন্ত চুলোয় গেল। ,,,বাগধারা,,চুলোয় যাওয়া ,নষ্ট হওয়া
আমার দিকে এমন চোখ পাকানোর কারণ কী? ,,,বাগধারা,,চোখ পাকানো ,রাগ দেখানো
প্রতিবেশীর বিপদে চোখ বুজে থাকতে নেই।,,,বাগধারা,,চোখ বুজে থাকা ,ভূমিকা না রাখা
" পরীক্ষা সামনে, তাই চোখে সরষে ফুল তো দেখবেই।",,,বাগধারা,,চোখে সরষে ফুল দেখা, বিপদে দিশেহারা হওয়া
" ছেলেটা ছাইচাপা আগুন, জীবনে সে জয়ী হবে।",,,বাগধারা,,ছাইচাপা আগুন ,সুপ্ত প্রতিভা
" কুসংসর্গে পড়ে সব হারিয়েছ, এখন জীবটনাকে গুছাতে চাও। এ যে ছেঁড়া চুলে খোঁপা বাঁধা।",,,বাগধারা,,ছেঁড়া চুলে খোঁপা বাঁধা ,বৃথা চেষ্টা
ওর তম এ অনাথকে মারা ছুঁচো মেরে হাত গন্ধ করা মাত্র।,,,বাগধারা,,ছুঁচো মেরে হাত গন্ধ ,অল্প লাভে দুর্নাম কেনা
"বিদ্যা নেই, অথচ ছক্কা পাঞ্জা করে; একেই বলে অল্প বিদ্যা ভয়ঙ্করী।
",,,বাগধারা,,ছক্কা পাঞ্জা করা ,বড় বড় কথা বলা
বিপদে পড়ে রামবাবু নেহায়েৎ ছকড়া নকড়ায় জটিমা বিক্রি করে দিলেন।,,,বাগধারা,,"ছকড়া নকড়া 
",সস্তা
 রমেশ ছাড়া এ নোংরা এঁটো কুড়াবে কে? ছাই ফেলতে যে ভাঙ্গা কুলোর প্রয়োজন।,,,বাগধারা,,ছাই ফেলতে ভাঙা কুলো ,অকাজের জন্য অপদার্থের নিয়োগ
" ছা-পোষা লোক আমি, দেশ নিয়ে ভাবার সময় কোথায়?",,,বাগধারা,,ছা-পোষা ,অত্যন্ত গরিব
 সবকিছু ছেলের হাতের মোয়া ভেবো না।,,,বাগধারা,,ছেলের হাতের মোয়া ,সহজলভ্য
ঋণের জগদ্দল পাথরে সে চোখে সর্ষে ফুল দেখছে।,,,বাগধারা,,জগদ্দল পাথর ,গুরুভার
সবকিছু জগাখিচুড়ি করে রেখেছ দেখছি!,,,বাগধারা,,জগাখিচুড়ি ,বিশৃঙ্খল
বাইরে থেকে দেখতে সরল হলেও লোকটির অন্তরে জিলাপির প্যাঁচ।,,,বাগধারা,,জিলাপির প্যাঁচ  ,কূটবুদ্ধি
ওরা সবাই ঝাঁকের কই; একই উদ্দেশ্য নিয়ে চলে।,,,বাগধারা,,ঝাঁকের কই ,একই দলভূক্ত
 তিনি ঝোপ বুঝে কোপ মেরে সফল হয়েছেন।,,,বাগধারা,,ঝোপ বুঝে কোপ মারা ,অবস্থা বুঝে সুযোগ গ্রহণ
" বড় তর্কার সাথে টক্কর দেওয়া ওর মতো মাছিমারা কেরানির কাজ নয়।
",,,বাগধারা,,টক্কর দেওয়া, পাল দেওয়া
"যুদ্ধের বাজারে চোরাকারবার করে সে এখন টাকার কুমির।
",,,বাগধারা,,টাকার কুমির ,প্রচুর অর্থের মালিক
বৃষ্টির পানিতে পুকুরটা একেবারে টইটম্বুর হয়ে আছে।,,,বাগধারা,,টইটম্বুর ,ভরপুর
"আগে কথা বললে না, এতক্ষণে তোমার টনক নড়ল?",,,বাগধারা,,টনক নড়া ,সজাগ হওয়া
সব সময়ে টাকার গরম দেখানো ঠিক নয়।,,,বাগধারা,,টাকার গরম ,বিত্তের অহংকার
" নেহাৎ ঠেস্ট কাটা লোক বলে তিনি অন্যায় সহ্য করতে পারেননি; মুখের উপর সোজা জবাব দিয়ে দিয়েছেন।
",,,বাগধারা,,ঠেস্ট কাটা ,স্পষ্টভাষী
"তএদিন তো আমার কথা শোননি, এখন মজা বোঝো। একেই বলে ঠেলার নাম বাবাজি।
",,,বাগধারা,,ঠেলার নাম বাবাজি  ,চাপে পড়িয়া কাবু হওয়া
"ওর মতো ঠুটো জগন্নাথের হাতে আমি আমার মেয়ে তুলে দেবো?
",,,বাগধারা,,ঠুটো জগন্নাথ, অকর্মণ্য ব্যক্তি
আজকাল ঠোঁটকাটা লোকের অভাব নেই।,,,বাগধারা,,ঠোঁট কাটা, বেহায়া
"আগে ডান হাতের ব্যাপারটা সেরে নেই, পরে অন্য কথা।",,,বাগধারা,,ডান হাতের ব্যাপার  ,খাওয়া
